player,18sp_KDA,18sp_KPAR,18sp_WR,18su_KDA,18su_KPAR,18su_WR,19sp_KDA,19sp_KPAR,19sp_WR,19su_KDA,19su_KPAR,19su_WR,20sp_KDA,20sp_KPAR,20sp_WR,20su_KDA,20su_KPAR,20su_WR,2019_Preseason,2019_Midseason,2020_Preseason,2020_Midseason,2021_Preseason
Aiming,6.105105105105105,77.51428571428572,71.42857142857143,5.141063370610162,70.31142857142859,60.0,3.38578947368421,66.41724137931035,34.48275862068966,5.109986587001584,71.37755102040816,55.10204081632653,5.481021689497717,82.64285714285714,51.02040816326531,4.49839805203127,73.14418604651162,41.86046511627907,0,0,1,0,1
Alphamong, , , ,1.0,75.0,0.0, , , , , , , , , , , , ,1, ,1, , 
Ambition,2.094412588345113,64.6266666666667,50.0,2.677392040643523,75.93928571428572,57.142857142857146, , , , , , , , , , , , ,1, , , , 
Asper, , , ,3.0,60.0,0.0, , , , , , , , , , , , ,0,1, , , 
Bang,9.805402701350676,77.3754716981132,49.056603773584904,4.864819004524886,69.01219512195124,46.34146341463415, , , , , , , , , , , , ,1, , , , 
Bdd,7.888088088088088,72.27727272727273,81.81818181818181,4.474722898080562,64.05319148936171,61.702127659574465,3.0498167772605727,73.8452380952381,30.952380952380953,3.379126375458486,69.53863636363636,36.36363636363637,6.3626998769987715,74.62978723404255,65.95744680851064,5.984723179416494,65.54509803921569,70.58823529411764,1,0,1,0,0
Ben, , , , , , , , , , , , ,0.6666666666666666,30.35,0.0,2.9852048233986146,64.3777777777778,51.111111111111114, , ,1,0,1
BeryL, , , , , , ,2.3815239134388073,68.69444444444444,61.111111111111114,3.2981738035264487,68.12391304347825,60.869565217391305,2.874050572060379,66.21315789473685,55.26315789473684,5.25462620281273,60.98095238095237,88.0952380952381,0,0,0,0,0
Blank,3.352868789417013,79.60322580645162,41.935483870967744,3.43720809548521,72.14615384615384,48.717948717948715, , , , , , , , , , , , ,1, , , , 
Blossom,2.367064188004209,72.78333333333335,61.111111111111114,1.4666666666666666,68.56,20.0, , , , , , , , , , , , ,1, , , , 
CaD, , , , , , , , , , , , , , , ,1.9994031632348555,73.71875,25.0, , , ,1,0
