LCK 2018 Spring Standings,,,,,,,
,Team,Series,,Games,,Pts,Str
1,⁠⁠Kingzone DragonX,16 - 2,89%,33 - 7,83%,26,9W
2,⁠⁠Afreeca Freecs,13 - 5,72%,28 - 13,68%,15,1L
3,⁠⁠KT Rolster,13 - 5,72%,28 - 15,65%,13,3W
4,⁠⁠SK Telecom T1,9 - 9,50%,23 - 23,50%,0,3W
5,⁠⁠KSV eSports,9 - 9,50%,22 - 22,50%,0,3L
6,⁠⁠ROX Tigers,9 - 9,50%,22 - 23,49%,-1,1L
7,⁠⁠Jin Air Green Wings1,7 - 11,39%,19 - 25,43%,-7,1W
8,⁠⁠bbq Olivers,6 - 12,33%,17 - 27,39%,-10,1W
9,⁠⁠MVP,6 - 12,33%,13 - 27,33%,-14,3L
10,⁠⁠Kongdoo Monster,2 - 16,11%,9 - 32,22%,-23,14L
