LCK 2018 Summer Standings,,,,,,,
,Team,Series,,Games,,Pts,Str
1,⁠⁠KT Rolster,13 - 5,72%,29 - 14,67%,15,4W
2,⁠⁠Griffin,13 - 5,72%,28 - 13,68%,15,2W
3,⁠⁠Kingzone DragonX,13 - 5,72%,28 - 15,65%,13,5W
4,⁠⁠Gen.G,13 - 5,72%,28 - 16,64%,12,3W
5,⁠⁠Afreeca Freecs,10 - 8,56%,26 - 20,57%,6,1W
6,⁠⁠Hanwha Life Esports,10 - 8,56%,25 - 21,54%,4,1L
7,⁠⁠SK Telecom T1,8 - 10,44%,20 - 24,45%,-4,3L
8,⁠⁠Jin Air Green Wings,4 - 14,22%,14 - 31,31%,-17,3L
9,⁠⁠MVP,4 - 14,22%,11 - 30,27%,-19,8L
10,⁠⁠bbq Olivers,2 - 16,11%,9 - 34,21%,-25,6L
