LCK 2020 Spring Standings,,,,,,,
,Team,Series,,Games,,,Str
1,⁠⁠Gen.G,14 - 4,78%,31 - 13,70%,18,1W
2,⁠⁠T1,14 - 4,78%,30 - 14,68%,16,1W
3,⁠⁠DragonX,14 - 4,78%,31 - 15,67%,16,7W
4,⁠⁠KT Rolster,10 - 8,56%,24 - 22,52%,2,1L
5,⁠⁠DAMWON Gaming,9 - 9,50%,22 - 21,51%,1,1W
6,⁠⁠Afreeca Freecs,7 - 11,39%,19 - 27,41%,-8,2L
7,⁠⁠APK Prince,6 - 12,33%,17 - 26,40%,-9,1L
8,⁠⁠Hanwha Life Esports,6 - 12,33%,17 - 28,38%,-11,1L
9,⁠⁠SANDBOX Gaming,5 - 13,28%,16 - 28,36%,-12,3L
10,⁠⁠Griffin,5 - 13,28%,16 - 29,36%,-13,1W
