LCK 2020 Summer Standings,,,,,,,
,Team,Series,,Games,,,Str
1,⁠⁠DAMWON Gaming,16 - 2,89%,34 - 5,87%,29,10W
2,⁠⁠DRX,15 - 3,83%,32 - 13,71%,19,1L
3,⁠⁠Gen.G,14 - 4,78%,31 - 12,72%,19,4W
4,⁠⁠T1,13 - 5,72%,28 - 14,67%,14,1W
5,⁠⁠Afreeca Freecs,10 - 8,56%,21 - 20,51%,1,1L
6,⁠⁠KT Rolster,7 - 11,39%,18 - 25,42%,-7,2L
7,⁠⁠SANDBOX Gaming,7 - 11,39%,17 - 25,40%,-8,1W
8,⁠⁠Team Dynamics,5 - 13,28%,16 - 28,36%,-12,1L
9,⁠⁠Hanwha Life Esports,2 - 16,11%,8 - 34,19%,-26,1W
10,⁠⁠SeolHaeOne Prince,1 - 17,6%,6 - 35,15%,-29,17L
